Date,Home_Team,Away_Team,Line,Over_Odds,Under_Odds,URL
2021-08-26,Tottenham,Pacos Ferreira,9.5,1.9,1.9,https://www.totalcorner.com/stats/Tottenham-vs-Pacos-Ferreira/106781619
2021-08-25,Newport County,Southampton,9.0,1.825,1.975,https://www.totalcorner.com/stats/Newport-County-vs-Southampton/106880476
2021-08-25,West Brom,Arsenal,10.5,1.9,1.9,https://www.totalcorner.com/stats/West-Brom-vs-Arsenal/106880478
2021-08-25,Newcastle,Burnley,10.0,1.9,1.9,https://www.totalcorner.com/stats/Newcastle-vs-Burnley/106880474
2021-08-24,Cardiff,Brighton,9.5,1.9,1.9,https://www.totalcorner.com/stats/Cardiff-vs-Brighton/106880424
2021-08-24,Brentford,Forest Green,9.0,1.8,2.0,https://www.totalcorner.com/stats/Brentford-vs-Forest-Green/106880421
2021-08-24,Barrow,Aston Villa,10.0,1.975,1.825,https://www.totalcorner.com/stats/Barrow-vs-Aston-Villa/106880408
2021-08-24,Watford,Crystal Palace,9.5,1.75,2.05,https://www.totalcorner.com/stats/Watford-vs-Crystal-Palace/106880468
2021-08-24,Leeds,Crewe,10.5,1.925,1.875,https://www.totalcorner.com/stats/Leeds-vs-Crewe/106880434
2021-08-24,Nottm Forest,Wolverhampton,9.5,1.85,1.95,https://www.totalcorner.com/stats/Nottm-Forest-vs-Wolverhampton/106880472
2021-08-24,Norwich,Bournemouth,10.0,1.85,1.95,https://www.totalcorner.com/stats/Norwich-vs-Bournemouth/106880392
2021-08-24,Huddersfield,Everton,9.5,1.75,2.05,https://www.totalcorner.com/stats/Huddersfield-vs-Everton/106880432
2021-08-24,Birmingham,Fulham,9.0,1.85,1.95,https://www.totalcorner.com/stats/Birmingham-vs-Fulham/106880412
2021-08-24,Sheff Utd,Derby,9.5,1.875,1.925,https://www.totalcorner.com/stats/Sheff-Utd-vs-Derby/106880455
2021-08-23,West Ham,Leicester,10.5,2.025,1.775,https://www.totalcorner.com/stats/West-Ham-vs-Leicester/106122933
2021-08-22,Arsenal,Chelsea,10.0,1.9,1.9,https://www.totalcorner.com/stats/Arsenal-vs-Chelsea/106122931
2021-08-22,Wolverhampton,Tottenham,10.0,1.875,1.925,https://www.totalcorner.com/stats/Wolverhampton-vs-Tottenham/106122929
2021-08-22,Southampton,Man Utd,9.5,1.85,1.95,https://www.totalcorner.com/stats/Southampton-vs-Man-Utd/106122927
2021-08-21,Man City,Norwich,10.0,1.8,2.0,https://www.totalcorner.com/stats/Man-City-vs-Norwich/106122922
2021-08-21,Blackburn,West Brom,9.0,1.825,1.975,https://www.totalcorner.com/stats/Blackburn-vs-West-Brom/106122945
2021-08-21,Brighton,Watford,10.0,1.9,1.9,https://www.totalcorner.com/stats/Brighton-vs-Watford/106122925
2021-08-21,Liverpool,Burnley,11.0,1.95,1.85,https://www.totalcorner.com/stats/Liverpool-vs-Burnley/106122907
2021-08-21,Leeds,Everton,10.5,1.8,2.0,https://www.totalcorner.com/stats/Leeds-vs-Everton/106122915
2021-08-21,Fulham,Hull,9.5,1.975,1.825,https://www.totalcorner.com/stats/Fulham-vs-Hull/106122965
2021-08-21,Sheff Utd,Huddersfield,9.5,1.85,1.95,https://www.totalcorner.com/stats/Sheff-Utd-vs-Huddersfield/106122976
2021-08-21,Aston Villa,Newcastle,10.5,1.9,1.9,https://www.totalcorner.com/stats/Aston-Villa-vs-Newcastle/106122910
2021-08-21,Crystal Palace,Brentford,9.5,1.9,1.9,https://www.totalcorner.com/stats/Crystal-Palace-vs-Brentford/106122913
2021-08-19,Pacos Ferreira,Tottenham,9.5,1.8,2.0,https://www.totalcorner.com/stats/Pacos-Ferreira-vs-Tottenham/106684933
2021-08-18,West Brom,Sheff Utd,10.5,2.0,1.8,https://www.totalcorner.com/stats/West-Brom-vs-Sheff-Utd/105515213
2021-08-17,Millwall,Fulham,9.5,2.0,1.8,https://www.totalcorner.com/stats/Millwall-vs-Fulham/105515169
2021-08-17,Swansea,Stoke,9.5,1.875,1.925,https://www.totalcorner.com/stats/Swansea-vs-Stoke/105515178
2021-08-15,Newcastle,West Ham,9.5,1.975,1.825,https://www.totalcorner.com/stats/Newcastle-vs-West-Ham/104082092
2021-08-15,Tottenham,Man City,9.5,2.0,1.8,https://www.totalcorner.com/stats/Tottenham-vs-Man-City/104082102
2021-08-14,Watford,Aston Villa,10.5,2.025,1.775,https://www.totalcorner.com/stats/Watford-vs-Aston-Villa/104082108
2021-08-14,Chelsea,Crystal Palace,10.5,1.975,1.825,https://www.totalcorner.com/stats/Chelsea-vs-Crystal-Palace/104082063
2021-08-14,Burnley,Brighton,10.0,1.825,1.975,https://www.totalcorner.com/stats/Burnley-vs-Brighton/104082061
2021-08-14,Everton,Southampton,10.0,1.875,1.925,https://www.totalcorner.com/stats/Everton-vs-Southampton/104082065
2021-08-14,West Brom,Luton,10.0,1.825,1.975,https://www.totalcorner.com/stats/West-Brom-vs-Luton/105515159
2021-08-14,Huddersfield,Fulham,9.0,1.825,1.975,https://www.totalcorner.com/stats/Huddersfield-vs-Fulham/105515137
2021-08-14,Swansea,Sheff Utd,10.0,1.95,1.85,https://www.totalcorner.com/stats/Swansea-vs-Sheff-Utd/105515161
2021-08-14,Man Utd,Leeds,10.5,1.875,1.925,https://www.totalcorner.com/stats/Man-Utd-vs-Leeds/104082078
2021-08-14,Norwich,Liverpool,10.5,1.975,1.825,https://www.totalcorner.com/stats/Norwich-vs-Liverpool/104082098
2021-08-14,Leicester,Wolverhampton,10.0,1.8,2.0,https://www.totalcorner.com/stats/Leicester-vs-Wolverhampton/104082074
2021-08-13,Brentford,Arsenal,10.0,2.0,1.8,https://www.totalcorner.com/stats/Brentford-vs-Arsenal/104082057
2021-08-11,Chelsea,Villarreal,9.5,1.9,1.9,https://www.totalcorner.com/stats/Chelsea-vs-Villarreal/104839404
2021-08-10,Sheff Utd,Carlisle,10.0,1.9,1.9,https://www.totalcorner.com/stats/Sheff-Utd-vs-Carlisle/104442171
2021-08-09,Liverpool,Osasuna,8.0,1.75,2.05,https://www.totalcorner.com/stats/Liverpool-vs-Osasuna/106370254
2021-08-08,Fulham,Middlesbrough,9.5,1.775,2.025,https://www.totalcorner.com/stats/Fulham-vs-Middlesbrough/104427531
